musician,musicianLabel,genderLabel,cityLabel,fatherLabel,motherLabel,partner,genreLabel,ethnicityLabel,religionLabel,activityStart,twitterNameLabel,geniusNameLabel,recordLabelLabel
http://www.wikidata.org/entity/Q6096,Snoop Dogg,male,Long Beach,,,,West Coast hip hop,African Americans,Islam,1991-01-01T00:00:00Z,snoopdogg,Snoop-dogg,Death Row Records
http://www.wikidata.org/entity/Q5977,Buddy Holly,male,Lubbock,,,María Elena Holly,beat music,,Baptists,1952-01-01T00:00:00Z,,Buddy-holly,Brunswick
http://www.wikidata.org/entity/Q8349,"""Weird Al"" Yankovic",male,Downey,Nick Yankovic,Mary Yankovic,Suzanne Yankovic,nerdcore,,Christianity,1976-01-01T00:00:00Z,alyankovic,Weird-al-yankovic,Volcano Entertainment
http://www.wikidata.org/entity/Q1779,Louis Armstrong,male,New Orleans,,,Lil Hardin Armstrong,jazz,African Americans,,1914-01-01T00:00:00Z,,,Decca
http://www.wikidata.org/entity/Q4270,Tom DeLonge,male,Poway,,,Jennifer DeLonge,pop punk,,,1992-01-01T00:00:00Z,tomdelonge,Tom-delonge,DGC Records
http://www.wikidata.org/entity/Q4491,Anna Faris,female,Baltimore,,,Chris Pratt,,,,1991-01-01T00:00:00Z,AnnaKFaris,Anna-faris,
http://www.wikidata.org/entity/Q6107,Tupac Shakur,male,East Harlem,Billy Garland,Afeni Shakur,Keisha Morris,West Coast hip hop,African Americans,,1989-01-01T00:00:00Z,2pac,2pac,Death Row Records
http://www.wikidata.org/entity/Q633,Neil Young,male,Toronto,Scott Young,,Carrie Snodgress,grunge,,,1961-01-01T00:00:00Z,Neilyoung,,Warner Bros. Records
http://www.wikidata.org/entity/Q7542,Prince,male,Minneapolis,John L. Nelson,Mattie Shaw,Manuela Testolini,rhythm and blues,African Americans,Jehovah's Witnesses,1978-01-01T00:00:00Z,prince,Prince,Arista
http://www.wikidata.org/entity/Q714,Stevie Wonder,male,Saginaw,,Lula Mae Hardaway,Syreeta Wright,soul music,African Americans,,1961-01-01T00:00:00Z,,Stevie-wonder,Motown
http://www.wikidata.org/entity/Q1744,Madonna,female,Bay City,,,Carlos Leon,jazz,French Canadian,,1979-01-01T00:00:00Z,Madonna,Madonna,Maverick
http://www.wikidata.org/entity/Q1768,Ella Fitzgerald,female,Newport News,,,Ray Brown,jazz,African Americans,,1934-01-01T00:00:00Z,,Ella-fitzgerald,Decca
http://www.wikidata.org/entity/Q11627,Black Francis,male,Boston,,,,alternative country,,,1986-01-01T00:00:00Z,,,American Recordings
http://www.wikidata.org/entity/Q11975,Britney Spears,female,McComb,,Lynne Spears,Justin Timberlake,teen pop,,Southern Baptist Convention,1992-01-01T00:00:00Z,britneyspears,Britney-spears,Legacy
http://www.wikidata.org/entity/Q1514,Janis Joplin,female,Port Arthur,,,,acid rock,White American,,1962-01-01T00:00:00Z,janisjoplin,,Columbia Records
http://www.wikidata.org/entity/Q303,Elvis Presley,male,Tupelo,Vernon Elvis Presley,Gladys Presley,Priscilla Presley,rhythm and blues,,,1954-01-01T00:00:00Z,elvispresley,,Sun Records
http://www.wikidata.org/entity/Q4616,Marilyn Monroe,female,Los Angeles,,,Joe DiMaggio,,,Christianity,1947-01-01T00:00:00Z,,Marilyn-monroe,RCA Records
http://www.wikidata.org/entity/Q1545,Cyndi Lauper,female,New York City,,,David Thornton,new wave,,,1977-01-01T00:00:00Z,cyndilauper,,Epic
http://www.wikidata.org/entity/Q12006,Dave Grohl,male,Warren,,,,alternative rock,White American,,1981-01-01T00:00:00Z,foofightersdave,Dave-grohl,Geffen Records
http://www.wikidata.org/entity/Q11637,Judy Garland,female,Grand Rapids,,,David Rose,,,Episcopal Church,1924-01-01T00:00:00Z,,,Decca
http://www.wikidata.org/entity/Q4636,Barbra Streisand,female,Brooklyn,,,James Brolin,jazz,Jewish people,,1960-01-01T00:00:00Z,BarbraStreisand,Barbra-streisand,Decca
http://www.wikidata.org/entity/Q11901,Beck,male,Los Angeles,David Campbell,Bibbe Hansen,Marissa Ribisi,alternative rock,,Scientology,1989-01-01T00:00:00Z,beck,,XL Recordings
http://www.wikidata.org/entity/Q8446,Kurt Cobain,male,Aberdeen,,,Courtney Love,grunge,,,1982-01-01T00:00:00Z,,Kurt-cobain,Sub Pop
http://www.wikidata.org/entity/Q5921,Chuck Berry,male,St. Louis,,,,rock and roll,African Americans,Baptists,1953-01-01T00:00:00Z,,Chuck-berry,Mercury Records
http://www.wikidata.org/entity/Q2680,Bruce Willis,male,Idar-Oberstein,,,Emma Heming Willis,,,atheism,1979-01-01T00:00:00Z,,,Motown
http://www.wikidata.org/entity/Q6060,50 Cent,male,South Jamaica,,,,East Coast hip hop,African Americans,,1998-01-01T00:00:00Z,50cent,,Universal Records
http://www.wikidata.org/entity/Q4061,Woody Guthrie,male,Okemah,,,Marjorie Guthrie,contemporary folk music,,,1930-01-01T00:00:00Z,,,Folkways Records
http://www.wikidata.org/entity/Q4028,Paul Simon,male,Newark,Louis Simon,Belle (?),Kathleen Mary Chitty,soft rock,,Judaism,1957-01-01T00:00:00Z,paulsimonmusic,Paul-simon,Warner Bros. Records
http://www.wikidata.org/entity/Q557,Patti Smith,female,Chicago,,,Fred Smith,punk rock,,,1967-01-01T00:00:00Z,,Patti-smith,Arista
http://www.wikidata.org/entity/Q4337,Rodger Bumpass,male,Little Rock,,,,,,,1977-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q4612,Marlene Dietrich,female,Rote Insel,Louis Erich Otto Dietrich,Wilhelmina Elisabeth Joséphine Felsing,Yul Brynner,,Germans,state atheism,1919-01-01T00:00:00Z,,Marlene-dietrich,Liberty
http://www.wikidata.org/entity/Q5928,Jimi Hendrix,male,Seattle,,,,acid rock,Cherokee,Lapsed Catholic,1965-01-01T00:00:00Z,JimiHendrix,Jimi-hendrix,MCA Inc.
http://www.wikidata.org/entity/Q8160,Carly Rose Sonenclar,female,New York City,,,,contemporary R&B,,,,CarlyRoseMusic,,Syco Music
http://www.wikidata.org/entity/Q4029,Tara Strong,female,Toronto,Syd Charendoff,Lucy Charendoff,Craig Strong,,Ashkenazi Jews,Judaism,1986-01-01T00:00:00Z,tarastrong,,
http://www.wikidata.org/entity/Q6078,Dr. Dre,male,Compton,,,,West Coast hip hop,African Americans,,1984-01-01T00:00:00Z,drdre,Dr-dre,Death Row Records
http://www.wikidata.org/entity/Q4042,CeeLo Green,male,Atlanta,,,,soul music,African Americans,,1994-01-01T00:00:00Z,CeeLoGreen,Ceelo-green,Arista
