musicianID,musicianName,genderType,birthDate,city,familyName,forename,fatherName,motherName,spouse,NChildren,kind,webpage,residence
http://www.wikidata.org/entity/Q6096,Bigg Snoop Dogg,m,1971-10-20T00:00:00Z,Long Beach,Broadus,Cordozar,,,,4.0,African-American music,http://snoopdogg.com/,
http://www.wikidata.org/entity/Q5977,00085469927 IPI,m,1936-09-07T00:00:00Z,Lubbock,Holley,Hardin,,,Maria Elena Holly,,rock and roll,http://www.buddyholly.com,
http://www.wikidata.org/entity/Q8349,Al Yankovic,m,1959-10-23T00:00:00Z,Downey,Yankovic,Alfred,Nick Louis Yankovic,Mary Yankovic,Suzanne Yankovic,,humor,http://weirdal.com/,
http://www.wikidata.org/entity/Q1779,Pops,m,1901-08-04T00:00:00Z,New Orleans,Armstrong,Louis,,,Lil Hardin Armstrong,,popular music,http://www.louisarmstronghouse.org/,
http://www.wikidata.org/entity/Q4270,Ava DeLonge,m,1975-12-13T00:00:00Z,Poway,Delonge,Thomas,,,Jennifer DeLonge,,pop music,http://blink-182.com/,Del Mar
http://www.wikidata.org/entity/Q4491,Ana faris,f,1976-11-29T00:00:00Z,Baltimore,Faris,Anna,,,"Christopher Michael ""Chris"" Pratt",1.0,,,Los Angeles
http://www.wikidata.org/entity/Q6107,Makaveli,m,1971-06-16T00:00:00Z,New York City,Shakur,Tupac,Billy Garland,Afeni Shakur,Keisha Morris-Shakur,,African-American music,http://www.2pac.com,Las Vegas
http://www.wikidata.org/entity/Q633,00033411035 IPI,m,1945-11-12T00:00:00Z,Toronto,Young,Percival,Scott Alexander Young,,Carrie Snodgress,,rock music,http://www.neilyoungarchives.com/,Toronto
http://www.wikidata.org/entity/Q7542,Christopher,m,1958-06-07T00:00:00Z,Minneapolis,Nelson,Rogers,Prince Rogers,Mattie Della,Manuela Testolini,,rock music,https://www.princeestate.com/,Chanhassen
http://www.wikidata.org/entity/Q714,00581621451 IPI,m,1950-05-13T00:00:00Z,Saginaw,Morris,Stevland,,Lula Mae Hardaway,Syreeta Wright,,popular music,http://www.steviewonder.net,
http://www.wikidata.org/entity/Q1744,Madonna Louise Ciccone,f,1958-08-16T00:00:00Z,Bay City,Ciccone,Veronica,,,Pappy Pariah,6.0,popular music,https://www.madonna.com/,Lisbon
http://www.wikidata.org/entity/Q1768,Ella Jane Fitzgerald,f,1917-04-25T00:00:00Z,Newport News,Fitzgerald,Ella,,,Raymond Matthews Brown,,popular music,http://www.ellafitzgerald.com/,
http://www.wikidata.org/entity/Q11627,Frank Black,m,1965-04-06T00:00:00Z,Boston,Thompson,Charles Michael,,,,,country music,http://www.frankblack.net/,
http://www.wikidata.org/entity/Q11975,Britney Jean Spears,f,1981-12-02T00:00:00Z,McComb,Spears,Britney,,Lynne Irene Bridges,Justin Randall Timberlake,,pop music,http://britneyspears.com,Kentwood
http://www.wikidata.org/entity/Q1514,Pearl,f,1943-01-19T00:00:00Z,Port Arthur,Joplin,Janis,,,,,rock music,http://www.janisjoplin.com/,
http://www.wikidata.org/entity/Q303,Elvis,m,1935-01-08T00:00:00Z,Tupelo,Presley,Elvis,Vernon Presley,Gladys Smith,Priscilla Ann Presley,,rock and roll,http://www.elvis.com,Graceland
http://www.wikidata.org/entity/Q4616,MM,f,1926-06-01T00:00:00Z,Los Angeles,Monroe,Marilyn,,,The Yankee Clipper,,,http://www.marilynmonroe.com/,
http://www.wikidata.org/entity/Q1545,Cynthia Ann Stephanie Lauper,f,1953-06-22T00:00:00Z,New York City,Lauper,Cynthia,,,David Thornton,1.0,music,https://www.cyndilauper.com/,
