musician,musicianLabel,genderLabel,birthDate,cityLabel,familyNameLabel,givenNameLabel,fatherLabel,motherLabel,partner,numberOfChildren,genreLabel,websiteLabel,residenceLabel,ethnicityLabel,religionLabel,activityStart,twitterNameLabel,geniusNameLabel,recordLabelLabel
http://www.wikidata.org/entity/Q6096,Snoop Dogg,male,1971-10-20T00:00:00Z,Long Beach,Broadus,Cordozar,,,,4,West Coast hip hop,http://snoopdogg.com/,,African Americans,Islam,1991-01-01T00:00:00Z,snoopdogg,Snoop-dogg,Death Row Records
http://www.wikidata.org/entity/Q5977,Buddy Holly,male,1936-09-07T00:00:00Z,Lubbock,Holley,Hardin,,,María Elena Holly,,beat music,http://www.buddyholly.com,,,Baptists,1952-01-01T00:00:00Z,,Buddy-holly,Brunswick
http://www.wikidata.org/entity/Q8349,"""Weird Al"" Yankovic",male,1959-10-23T00:00:00Z,Downey,Yankovic,Alfred,Nick Yankovic,Mary Yankovic,Suzanne Yankovic,,nerdcore,http://weirdal.com/,,,Christianity,1976-01-01T00:00:00Z,alyankovic,Weird-al-yankovic,Volcano Entertainment
http://www.wikidata.org/entity/Q1779,Louis Armstrong,male,1901-08-04T00:00:00Z,New Orleans,Armstrong,Louis,,,Lil Hardin Armstrong,,jazz,http://www.louisarmstronghouse.org/,,African Americans,,1914-01-01T00:00:00Z,,,Decca
http://www.wikidata.org/entity/Q4270,Tom DeLonge,male,1975-12-13T00:00:00Z,Poway,Delonge,Thomas,,,Jennifer DeLonge,,pop punk,http://blink-182.com/,Del Mar,,,1992-01-01T00:00:00Z,tomdelonge,Tom-delonge,DGC Records
http://www.wikidata.org/entity/Q4491,Anna Faris,female,1976-11-29T00:00:00Z,Baltimore,Faris,Anna,,,Chris Pratt,1,,,Los Angeles,,,1991-01-01T00:00:00Z,AnnaKFaris,Anna-faris,
http://www.wikidata.org/entity/Q6107,Tupac Shakur,male,1971-06-16T00:00:00Z,East Harlem,Shakur,Tupac,Billy Garland,Afeni Shakur,Keisha Morris,,West Coast hip hop,http://www.2pac.com,Las Vegas,African Americans,,1989-01-01T00:00:00Z,2pac,2pac,Death Row Records
http://www.wikidata.org/entity/Q633,Neil Young,male,1945-11-12T00:00:00Z,Toronto,Young,Percival,Scott Young,,Carrie Snodgress,,grunge,http://www.neilyoungarchives.com/,Toronto,,,1961-01-01T00:00:00Z,Neilyoung,,Warner Bros. Records
http://www.wikidata.org/entity/Q7542,Prince,male,1958-06-07T00:00:00Z,Minneapolis,Nelson,Rogers,John L. Nelson,Mattie Shaw,Manuela Testolini,,rhythm and blues,https://www.princeestate.com/,Chanhassen,African Americans,Jehovah's Witnesses,1978-01-01T00:00:00Z,prince,Prince,Arista
http://www.wikidata.org/entity/Q714,Stevie Wonder,male,1950-05-13T00:00:00Z,Saginaw,Morris,Stevland,,Lula Mae Hardaway,Syreeta Wright,,soul music,http://www.steviewonder.net,,African Americans,,1961-01-01T00:00:00Z,,Stevie-wonder,Motown
http://www.wikidata.org/entity/Q1744,Madonna,female,1958-08-16T00:00:00Z,Bay City,Ciccone,Veronica,,,Carlos Leon,6,jazz,https://www.madonna.com/,Lisbon,French Canadian,,1979-01-01T00:00:00Z,Madonna,Madonna,Maverick
http://www.wikidata.org/entity/Q1768,Ella Fitzgerald,female,1917-04-25T00:00:00Z,Newport News,Fitzgerald,Ella,,,Ray Brown,,jazz,http://www.ellafitzgerald.com/,,African Americans,,1934-01-01T00:00:00Z,,Ella-fitzgerald,Decca
http://www.wikidata.org/entity/Q11627,Black Francis,male,1965-04-06T00:00:00Z,Boston,Thompson,Charles Michael,,,,,alternative country,http://www.frankblack.net/,,,,1986-01-01T00:00:00Z,,,American Recordings
http://www.wikidata.org/entity/Q11975,Britney Spears,female,1981-12-02T00:00:00Z,McComb,Spears,Britney,,Lynne Spears,Justin Timberlake,,teen pop,http://britneyspears.com,Kentwood,,Southern Baptist Convention,1992-01-01T00:00:00Z,britneyspears,Britney-spears,Legacy
http://www.wikidata.org/entity/Q1514,Janis Joplin,female,1943-01-19T00:00:00Z,Port Arthur,Joplin,Janis,,,,,acid rock,http://www.janisjoplin.com/,,White American,,1962-01-01T00:00:00Z,janisjoplin,,Columbia Records
http://www.wikidata.org/entity/Q303,Elvis Presley,male,1935-01-08T00:00:00Z,Tupelo,Presley,Elvis,Vernon Elvis Presley,Gladys Presley,Priscilla Presley,,rhythm and blues,http://www.elvis.com,Graceland,,,1954-01-01T00:00:00Z,elvispresley,,Sun Records
http://www.wikidata.org/entity/Q4616,Marilyn Monroe,female,1926-06-01T00:00:00Z,Los Angeles,Monroe,Marilyn,,,Joe DiMaggio,,,http://www.marilynmonroe.com/,,,Christianity,1947-01-01T00:00:00Z,,Marilyn-monroe,RCA Records
http://www.wikidata.org/entity/Q1545,Cyndi Lauper,female,1953-06-22T00:00:00Z,New York City,Lauper,Cynthia,,,David Thornton,1,new wave,https://www.cyndilauper.com/,,,,1977-01-01T00:00:00Z,cyndilauper,,Epic
http://www.wikidata.org/entity/Q12006,Dave Grohl,male,1969-01-14T00:00:00Z,Warren,Grohl,David,,,,,alternative rock,http://www.foofighters.com,,White American,,1981-01-01T00:00:00Z,foofightersdave,Dave-grohl,Geffen Records
http://www.wikidata.org/entity/Q11637,Judy Garland,female,1922-06-10T00:00:00Z,Grand Rapids,Gumm,Ethel,,,David Rose,,,http://www.thejudyroom.com/,Lancaster,,Episcopal Church,1924-01-01T00:00:00Z,,,Decca
http://www.wikidata.org/entity/Q4636,Barbra Streisand,female,1942-04-24T00:00:00Z,Brooklyn,Streisand,Barbara,,,James Brolin,,jazz,http://www.barbrastreisand.com/,Woodland Hills,Jewish people,,1960-01-01T00:00:00Z,BarbraStreisand,Barbra-streisand,Decca
http://www.wikidata.org/entity/Q11901,Beck,male,1970-07-08T00:00:00Z,Los Angeles,Beck,,David Campbell,Bibbe Hansen,Marissa Ribisi,,alternative rock,http://www.beck.com,,,Scientology,1989-01-01T00:00:00Z,beck,,XL Recordings
http://www.wikidata.org/entity/Q8446,Kurt Cobain,male,1967-02-20T00:00:00Z,Aberdeen,Cobain,Donald,,,Courtney Love,,grunge,,,,,1982-01-01T00:00:00Z,,Kurt-cobain,Sub Pop
http://www.wikidata.org/entity/Q5921,Chuck Berry,male,1926-10-18T00:00:00Z,St. Louis,Berry,Chuck,,,,4,rock and roll,http://www.chuckberry.com/,The Ville,African Americans,Baptists,1953-01-01T00:00:00Z,,Chuck-berry,Mercury Records
http://www.wikidata.org/entity/Q2680,Bruce Willis,male,1955-03-19T00:00:00Z,Idar-Oberstein,Willis,Bruce,,,Emma Heming Willis,,,,Los Angeles,,atheism,1979-01-01T00:00:00Z,,,Motown
http://www.wikidata.org/entity/Q6060,50 Cent,male,1975-07-06T00:00:00Z,South Jamaica,Jackson,Curtis,,,,2,East Coast hip hop,http://50cent.com/,,African Americans,,1998-01-01T00:00:00Z,50cent,,Universal Records
http://www.wikidata.org/entity/Q4061,Woody Guthrie,male,1912-07-14T00:00:00Z,Okemah,Guthrie,Woody,,,Marjorie Guthrie,8,contemporary folk music,,,,,1930-01-01T00:00:00Z,,,Folkways Records
http://www.wikidata.org/entity/Q4028,Paul Simon,male,1941-10-13T00:00:00Z,Newark,Simon,Paul Frederic,Louis Simon,Belle (?),Kathleen Mary Chitty,,soft rock,http://www.paulsimon.com,,,Judaism,1957-01-01T00:00:00Z,paulsimonmusic,Paul-simon,Warner Bros. Records
http://www.wikidata.org/entity/Q557,Patti Smith,female,1946-12-30T00:00:00Z,Chicago,Smith,Patti,,,Fred Smith,,punk rock,http://www.pattismith.net/intro.html,,,,1967-01-01T00:00:00Z,,Patti-smith,Arista
http://www.wikidata.org/entity/Q4337,Rodger Bumpass,male,1951-11-20T00:00:00Z,Little Rock,Bumpass,Rodger,,,,,,,,,,1977-01-01T00:00:00Z,,,
