musician,birthDate,familyNameLabel,givenNameLabel,numberOfChildren,websiteLabel,residenceLabel,ethnicityLabel,religionLabel,activityStart,twitterNameLabel,geniusNameLabel,recordLabelLabel
http://www.wikidata.org/entity/Q6096,1971-10-20T00:00:00Z,Broadus,Cordozar,4,http://snoopdogg.com/,,African Americans,Islam,1991-01-01T00:00:00Z,snoopdogg,Snoop-dogg,Death Row Records
http://www.wikidata.org/entity/Q5977,1936-09-07T00:00:00Z,Holley,Hardin,,http://www.buddyholly.com,,,Baptists,1952-01-01T00:00:00Z,,Buddy-holly,Brunswick
http://www.wikidata.org/entity/Q8349,1959-10-23T00:00:00Z,Yankovic,Alfred,,http://weirdal.com/,,,Christianity,1976-01-01T00:00:00Z,alyankovic,Weird-al-yankovic,Volcano Entertainment
http://www.wikidata.org/entity/Q1779,1901-08-04T00:00:00Z,Armstrong,Louis,,http://www.louisarmstronghouse.org/,,African Americans,,1914-01-01T00:00:00Z,,,Decca
http://www.wikidata.org/entity/Q4270,1975-12-13T00:00:00Z,Delonge,Thomas,,http://blink-182.com/,Del Mar,,,1992-01-01T00:00:00Z,tomdelonge,Tom-delonge,DGC Records
http://www.wikidata.org/entity/Q4491,1976-11-29T00:00:00Z,Faris,Anna,1,,Los Angeles,,,1991-01-01T00:00:00Z,AnnaKFaris,Anna-faris,
http://www.wikidata.org/entity/Q6107,1971-06-16T00:00:00Z,Shakur,Tupac,,http://www.2pac.com,Las Vegas,African Americans,,1989-01-01T00:00:00Z,2pac,2pac,Death Row Records
http://www.wikidata.org/entity/Q633,1945-11-12T00:00:00Z,Young,Percival,,http://www.neilyoungarchives.com/,Toronto,,,1961-01-01T00:00:00Z,Neilyoung,,Warner Bros. Records
http://www.wikidata.org/entity/Q7542,1958-06-07T00:00:00Z,Nelson,Rogers,,https://www.princeestate.com/,Chanhassen,African Americans,Jehovah's Witnesses,1978-01-01T00:00:00Z,prince,Prince,Arista
http://www.wikidata.org/entity/Q714,1950-05-13T00:00:00Z,Morris,Stevland,,http://www.steviewonder.net,,African Americans,,1961-01-01T00:00:00Z,,Stevie-wonder,Motown
http://www.wikidata.org/entity/Q1744,1958-08-16T00:00:00Z,Ciccone,Veronica,6,https://www.madonna.com/,Lisbon,French Canadian,,1979-01-01T00:00:00Z,Madonna,Madonna,Maverick
http://www.wikidata.org/entity/Q1768,1917-04-25T00:00:00Z,Fitzgerald,Ella,,http://www.ellafitzgerald.com/,,African Americans,,1934-01-01T00:00:00Z,,Ella-fitzgerald,Decca
http://www.wikidata.org/entity/Q11627,1965-04-06T00:00:00Z,Thompson,Charles Michael,,http://www.frankblack.net/,,,,1986-01-01T00:00:00Z,,,American Recordings
http://www.wikidata.org/entity/Q11975,1981-12-02T00:00:00Z,Spears,Britney,,http://britneyspears.com,Kentwood,,Southern Baptist Convention,1992-01-01T00:00:00Z,britneyspears,Britney-spears,Legacy
http://www.wikidata.org/entity/Q1514,1943-01-19T00:00:00Z,Joplin,Janis,,http://www.janisjoplin.com/,,White American,,1962-01-01T00:00:00Z,janisjoplin,,Columbia Records
http://www.wikidata.org/entity/Q303,1935-01-08T00:00:00Z,Presley,Elvis,,http://www.elvis.com,Graceland,,,1954-01-01T00:00:00Z,elvispresley,,Sun Records
http://www.wikidata.org/entity/Q4616,1926-06-01T00:00:00Z,Monroe,Marilyn,,http://www.marilynmonroe.com/,,,Christianity,1947-01-01T00:00:00Z,,Marilyn-monroe,RCA Records
http://www.wikidata.org/entity/Q1545,1953-06-22T00:00:00Z,Lauper,Cynthia,1,https://www.cyndilauper.com/,,,,1977-01-01T00:00:00Z,cyndilauper,,Epic
http://www.wikidata.org/entity/Q12006,1969-01-14T00:00:00Z,Grohl,David,,http://www.foofighters.com,,White American,,1981-01-01T00:00:00Z,foofightersdave,Dave-grohl,Geffen Records
http://www.wikidata.org/entity/Q11637,1922-06-10T00:00:00Z,Gumm,Ethel,,http://www.thejudyroom.com/,Lancaster,,Episcopal Church,1924-01-01T00:00:00Z,,,Decca
http://www.wikidata.org/entity/Q4636,1942-04-24T00:00:00Z,Streisand,Barbara,,http://www.barbrastreisand.com/,Woodland Hills,Jewish people,,1960-01-01T00:00:00Z,BarbraStreisand,Barbra-streisand,Decca
http://www.wikidata.org/entity/Q11901,1970-07-08T00:00:00Z,Beck,,,http://www.beck.com,,,Scientology,1989-01-01T00:00:00Z,beck,,XL Recordings
http://www.wikidata.org/entity/Q8446,1967-02-20T00:00:00Z,Cobain,Donald,,,,,,1982-01-01T00:00:00Z,,Kurt-cobain,Sub Pop
http://www.wikidata.org/entity/Q5921,1926-10-18T00:00:00Z,Berry,Chuck,4,http://www.chuckberry.com/,The Ville,African Americans,Baptists,1953-01-01T00:00:00Z,,Chuck-berry,Mercury Records
http://www.wikidata.org/entity/Q2680,1955-03-19T00:00:00Z,Willis,Bruce,,,Los Angeles,,atheism,1979-01-01T00:00:00Z,,,Motown
http://www.wikidata.org/entity/Q6060,1975-07-06T00:00:00Z,Jackson,Curtis,2,http://50cent.com/,,African Americans,,1998-01-01T00:00:00Z,50cent,,Universal Records
http://www.wikidata.org/entity/Q4061,1912-07-14T00:00:00Z,Guthrie,Woody,8,,,,,1930-01-01T00:00:00Z,,,Folkways Records
http://www.wikidata.org/entity/Q4028,1941-10-13T00:00:00Z,Simon,Paul Frederic,,http://www.paulsimon.com,,,Judaism,1957-01-01T00:00:00Z,paulsimonmusic,Paul-simon,Warner Bros. Records
