musicianID,musicianName,genderType,birthDate,city,familyName,forename,fatherName,motherName,spouse,NChildren,kind,webpage
http://www.wikidata.org/entity/Q3017926,,m,1938-08-24T00:00:00Z,Cincinnati,,David,,,,,rock music,
http://www.wikidata.org/entity/Q2923750,,m,1962-05-28T00:00:00Z,Bakersfield,Cruz,Brandon,,,,,,
http://www.wikidata.org/entity/Q3020857,,f,1965-08-13T00:00:00Z,Sacramento,,Deborah,,,RDJ,,,
http://www.wikidata.org/entity/Q3027902,,m,1989-09-17T00:00:00Z,Los Angeles,,,,,,,,
http://www.wikidata.org/entity/Q2967586,,m,1936-08-22T00:00:00Z,Gaston,Brown,Chuck,,,,,go-go,http://www.windmeupchuck.com/
http://www.wikidata.org/entity/Q2979859,,f,1988-05-07T00:00:00Z,West Covina,,Natalie,,,,,popular music,
http://www.wikidata.org/entity/Q2940906,Case Woodard,m,1975-10-04T00:00:00Z,New York City,,,,,,,contemporary R&B,
http://www.wikidata.org/entity/Q2927234,,m,1986-08-17T00:00:00Z,Lakewood,James,,,,,,,
http://www.wikidata.org/entity/Q2927252,,m,1924-12-10T00:00:00Z,Woodbury,Albers,Ken,,,,,popular music,
http://www.wikidata.org/entity/Q3015280,Daniel Mann,m,1951-07-28T00:00:00Z,Tennessee,Mann,Danny,,,,,,
http://www.wikidata.org/entity/Q2959986,,m,1963-05-12T00:00:00Z,Philadelphia,,Charles,,,,,popular music,
http://www.wikidata.org/entity/Q2960879,,m,1948-01-04T00:00:00Z,Woburn,,Charlie,,,,,music,
http://www.wikidata.org/entity/Q3021762,,f,1951-09-04T00:00:00Z,Atlanta,Ziegler,Delores,,,,,,
http://www.wikidata.org/entity/Q2964865,,m,1978-07-20T00:00:00Z,Madison,Sligh,Chris,,,,,rock music,http://www.chrissligh.com/
http://www.wikidata.org/entity/Q3016380,,f,1941-04-08T00:00:00Z,Montreal,Gillespie,Darlene,,,,,,
http://www.wikidata.org/entity/Q3017692,,m,1969-10-31T00:00:00Z,Los Angeles,Coburn,David,,,,,,
http://www.wikidata.org/entity/Q2927531,,m,1912-07-26T00:00:00Z,Dorchester,Clark,Buddy,,,,,pop music,http://home.earthlink.net/~jaymar41/bclark.html
http://www.wikidata.org/entity/Q3014980,,f,1983-09-06T00:00:00Z,Hawaii,,Danielle,,,,,pop music,http://www.myspace.com/danielledelaunay
http://www.wikidata.org/entity/Q2940239,Carrie Rachel Grace Brownstein,f,1974-09-27T00:00:00Z,Seattle,,Carrie,,,,,Riot grrrl,http://www.carriebrownstein.com/
http://www.wikidata.org/entity/Q2924842,,m,1980-02-17T00:00:00Z,Houston,Andrews,Brian,,,,,popular music,http://www.myspace.com/day26
http://www.wikidata.org/entity/Q2924957,,m,1969-01-01T00:00:00Z,Louisville,McMahan,Brian,,,,,experimental rock,
http://www.wikidata.org/entity/Q2966610,,m,1952-12-19T00:00:00Z,Geneva,Laird,Christopher,,,,,,
http://www.wikidata.org/entity/Q3021658,,m,1929-03-24T00:00:00Z,Chicago,,Pat,,,,,,
http://www.wikidata.org/entity/Q2925035,,m,1979-05-16T00:00:00Z,Greenville,,Brian,,,,,rock music,
http://www.wikidata.org/entity/Q2942029,,f,1965-01-01T00:00:00Z,San Jose,,Catherine,,,,,,
http://www.wikidata.org/entity/Q2940980,,m,1982-05-31T00:00:00Z,Plano,James,Casey,,,,,popular music,http://www.caseyjamesofficial.com
http://www.wikidata.org/entity/Q3021343,,f,1957-08-01T00:00:00Z,Chicago,,,,,,,music,http://www.deitrafarr.com/
http://www.wikidata.org/entity/Q2933359,Caity Marie Lotz,f,1986-12-30T00:00:00Z,San Diego,Lotz,,,,,,,
http://www.wikidata.org/entity/Q3024027,,m,1964-04-12T00:00:00Z,Dallas,,,,,,,pop music,http://www.deryldodd.com
http://www.wikidata.org/entity/Q2941198,Cassadee Blake Pope,f,1989-08-28T00:00:00Z,West Palm Beach,,,,,,,pop music,http://www.cassadeepope.com/
http://www.wikidata.org/entity/Q2939823,Carol Bundy,f,1942-08-26T00:00:00Z,United States of America,,Carol,,,Doug Clark,,,
http://www.wikidata.org/entity/Q2958074,,m,1940-10-07T00:00:00Z,Swainsboro,Wilson,Larry,,,,,pop music,
http://www.wikidata.org/entity/Q2964867,,m,1953-01-01T00:00:00Z,Durham,Spencer,Chris,,,,,,
http://www.wikidata.org/entity/Q2926438,,m,1959-06-06T00:00:00Z,Fresno,Loose,Bruce,,,,,,
http://www.wikidata.org/entity/Q2924463,,m,1957-02-28T00:00:00Z,Quinter,Barrett,Brent,,,,,,
http://www.wikidata.org/entity/Q3016651,,m,1955-10-30T00:00:00Z,Berkeley,Coley,Daryl,,,,,Christian music,
http://www.wikidata.org/entity/Q3020510,John Moore,m,1941-06-23T00:00:00Z,New Orleans,Moore,John,,,,,music,http://www.deaconjohnsjumpblues.com/
http://www.wikidata.org/entity/Q3025570,,m,1904-04-18T00:00:00Z,Durham,Markham,,,,,,,
