discid,dtitle,dyear,dgenre,extd,playorder,disc_length,revision,submitted_via
02012601,宇多田ヒカル / Keep Tryin',2006,misc,"","",296,6,freeDBTagger 0.8.2.1
02040101,Glenn Gould / Thirty two short films about Glenn Gould (CD 2),-1,"","","",1027,3,CDex 1.40PlusFr
05100414,Hipolito Lazaro / CD1,-1,Vocal,"","",4102,0,CDex 1.50
09101d13,BSO La fiesta / BSO La fiesta,2003,Other, YEAR: 2003,"",4127,0,CDex 1.51
0b11a612,Various / Bravo Hits 36 CD 1 (M�hrches),-1,misc,"","",4520,2,Audio-CD-Archiv 2.10.446
0c120e13,Various Artists / Love 2003,-1,Pop,"","",4624,0,GXTranscoder 2.0.1939
1111d813,Центр / Легенды русского рока,1999,Rock,"","",4570,1,EasyCDDAExtractor 12.0.0.1
190df402,Zaid Rahbani / Tabeh Lachi Tabeh Chi.. CD1,1998,Musical,"","",3574,1,CDex 1.70beta2
1910e414,Parios / 5-Oi Kathreptes Tis Psyxis Mou,-1,Folk,"","",4326,0,CDex 1.70beta2
2a047804,Cheese Slider / Maxi,1999,Pop,"","",1146,0,audiograbber 1.83.01
31069f05,Corona / The Rhythm Of The Night (UK Remixes),1994,Dance,"","",1697,5,MusicWizard 8.0.6
330da416,Kingsmen of Columbia College / Kingsmen,1989,A Capella,"","",3494,0,ExactAudioCopy v0.95a4
4609c807,Alberto Marsicano / The Eletric Sitar Expirience,2003,Indie, YEAR: 2003,"",2506,0,CDex 1.50beta10
5a0c0a08,"ie mark brandenburg, band 4",1992,H�rbuch,"","",3084,0,ExactAudioCopy v0.95a3
5b098408,�Ψ��FM3 / ����Ե��,2004,Blues,"","",2438,1,ExactAudioCopy v0.95a5
5b0e0d09,Andras Schiff / In Concert (Disc 2),2002,Classical,"","",3599,4,ExactAudioCopyFreeDBPlugin 1.0
5e085a18,Melanie Dill / Rainbow Lemonade,2002,Children's Music,"","",2140,1,audiograbber 1.83.01
650a150a,Tony Quinn / From A Foreign Part Of The Town,1991,"", YEAR: 1991,"",2583,0,CDex 1.51
650e0a18,SEGA / ドラゴンフォース オリジナル・サウンドトラック,-1,Game,"","",3596,0,CDex 1.51
670c6d07,9-12-86 (disc 1),1986,Progressive Rock,"","",3183,0,ExactAudioCopy v0.90b4
6811d018,Ottilie Patterson with Chris Barber's Jazz Band / 1955-1962,1955,Jazz, YEAR: 1955,"",4562,0,CDex 1.51
7209500a,In Question / Until Tomorrow,-1,Hard Rock,"","",2386,0,dBpowerAMP V4.0
75069c0a,Paquita La Del Barrio / Qu� mam� tan chaparrita!,2004,Ranchera, YEAR: 1998,"",1694,1,ExactAudioCopy v0.95a5
7b0d5009,"Various / Violin Concerto No 1, Symphony No 4 (Italian), Hebrides Overture",-1,Classical,"","",3410,0,Collectorz.com_Music_Collector 6.11
850c240c,Gaskin / End Of The World,-1,"","","",3110,0,ExactAudioCopy v0.90a11
860ab50a,Smolik / Smolik,-1,"","","",2743,1,ExactAudioCopy v0.95a3
870d430b,Joe Pass / Blues for Fred,1988,Jazz,"","",3397,1,audiograbber 1.83.01
8809c40a,박정운 / 오늘 같은 밤이면,1991,Ballad,"","",2502,0,EasyCDDAExtractor 12.0.1.1
8a06370b,Jackie Kelso / Legendary Classics,-1,"","","",1593,1,audiograbber 1.83.01
900bba0d,Eileen Meyer / all in one day,-1,folk,"","",3004,0,dBpowerAMP V4.0
9107d20b,The Crazy Boys / Let's Roll Baby,2001,Rockabilly, YEAR: 2001,"",2004,1,CDex 1.70beta2
