discid,n,ttitle,extt
02012601,0,Keep Tryin',""
02040101,0,Glenn Gould spricht �ber Bach und die Fuge,mit Musikbeispielen
05100414,0,1 01 Hipolito Lazaro - Meyerbeer - L'Africana - O Pardadiso - 1911,""
05100414,1,1 02 Hipolito Lazaro - Puccini - Tosca - Recondita armonia - 1911,""
05100414,2,1 03  Hipolito Lazaro - Verdi - Rigoletto - Questa o quella - 1916,""
05100414,3,1 04 Hipolito Lazaro - Verdi - Rigoletto - La donna � mobile - 1918,""
05100414,4,1 05 Hipolito Lazaro - Verdi - Il Trovatore - Di quella pira - 1916,""
05100414,5,1 06 Hipolito Lazaro - Meyerbeer - L'Africana - O Paradiso - 1916,""
05100414,6,"1 07 Hipolito Lazaro - Donizetti - La Favorita - Una vergin, un angiol di Dio - 1916",""
05100414,7,1 08 Hipolito Lazaro - Puccini - Tosca - Recondita armonia - 1916,""
05100414,8,1 09 Hipolito Lazaro - Puccini - Tosca - E lucean le stelle - 1916,""
05100414,9,1 10 Hipolito Lazaro - Verdi - Aida - Celeste Aida - 1916,""
05100414,10,1 11 Hipolito Lazaro - Gounod - Faust - Salve dimora - 1916,""
05100414,11,"1 12 Hipolito Lazaro - Bellini - I Puritani - A te, o cara - 1916",""
05100414,12,1 13 Hipolito Lazaro - Bellini  - I Puritani - Vieni fra queste braccia - 1916,""
05100414,13,"1 15 Hipolito Lazaro - Manon - Massenet - Ah, dispar vision - 1016",""
05100414,14,1 16 Hipolito Lazaro - Flotow - Martha - M'appar� - 1916,""
05100414,15,1 17 Hipolito Lazaro - Leoncavallo - I Pagliacci - Vesti la giubba - 1916,""
05100414,16,1 18 Hipolito Lazaro - Verdi - La Traviata - Parigi o cara - 1918 (Maria Barrientos),""
05100414,17,1 19 Hipolito Lazaro - Arrieta - Marina - Costas las de levante - 1920,""
05100414,18,1 20 Hipolito Lazaro - Ponchielli - La Gioconda - Cielo e mar - 1925,""
05100414,19,1 21 Hipolito Lazaro - Meyerbeer - Gli Ugonotti - Bianca al par - 1925,""
09101d13,0,"Deluxe ""For myself""",""
09101d13,1,"The Mockers ""D�jame (english version)""",""
09101d13,2,"Hombres G ""Voy a pas�rmelo bien""",""
09101d13,3,"Los Secretos ""Te he echado de menos hoy""",""
09101d13,4,"La Tercera Rep�blica ""Me rindo""",""
09101d13,5,"El Canto del Loco ""Pasi�n""",""
09101d13,6,"Jaime Urrutia ""�Qu� barbaridad!""",""
09101d13,7,"M-Clan ""Carolina""",""
09101d13,8,"Seguridad Social ""Quiero tener tu presencia""",""
09101d13,9,"Danza Invisible ""En celo""",""
09101d13,10,"Celtas Cortos ""Cu�ntame un cuento""",""
09101d13,11,"Los Sinsong ""Tiempo de rebajas""",""
09101d13,12,"Mojinos Escozios ""La liebre""",""
09101d13,13,"Platero y T� ""El roce de tu cuerpo""",""
09101d13,14,"Lombardi ""Una vez m�s""",""
09101d13,15,"Duncan Dhu ""No puedo evitar (pensar en ti)""",""
09101d13,16,"La Sonrisa de Julia ""Volar contigo""",""
09101d13,17,"Los Secretos ""Cada d�a""",""
09101d13,18,"Piratas ""El equilibrio es imposible""",""
0b11a612,0,Brosis - I belive,""
0b11a612,1,Anastacia - Paid my dues,""
0b11a612,2,Nickelback - How you remind me,""
