id,gid,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,type,area,gender,comment,edits_pending,last_updated,ended,begin_area,end_area
48339,a78b8a2e-b13c-495f-ba38-3fd83ea7ba3f,Starchaser,Starchaser,,,,,,,2,,,"",0,,f,,
754767,296d5d06-c526-4868-b215-5d1bb4d8a614,DJ Nevidomy,"Nevidomy, DJ",,,,,,,1,219,,Ukrainian Drum & Bass producer.,0,2012-03-23 06:38:22.820159+01,f,,
205712,c6b5852f-611c-4227-99b8-e85fd04b225f,Malik Flavors,Malik Flavors,,,,,,,1,,,"",0,2010-05-23 22:29:42.977839+02,f,,
985,47c8f88b-987a-4b64-9175-2b1b57809727,Billy Idol,"Idol, Billy",1955,11,30,,,,1,221,1,"",0,2012-02-20 19:47:50.761337+01,f,,
5489,9a2c1673-de68-433f-9f13-8f554fb4bb3d,The John Colianni Trio,"Colianni, John, Trio, The",,,,,,,2,,,"",0,2010-07-09 02:32:47.14847+02,f,,
43671,0137acdb-40a4-484c-b2f9-a839c9b1e485,Moguai,Moguai,,,,,,,1,81,,"",0,2012-03-27 13:15:47.514922+02,f,,
206599,d564168f-eefb-4841-afa1-0e84074d53e8,B L A Z E,Blaze,1999,3,,2007,1,,2,221,,UK heavy metal band,0,2012-05-15 21:04:49.109476+02,t,,
66433,cf2c6ec3-45c9-423c-ab7e-d3c103e6a74b,The High Fidelity,"High Fidelity, The",,,,,,,2,221,,UK indie rock band,0,2011-12-06 07:41:08.306621+01,f,,
136847,6b37c90e-5077-4097-988f-d64f2eb42f63,Fermin Muguruza,"Muguruza, Fermin",1963,4,20,,,,1,194,1,"",0,2013-03-20 17:00:25.116457+01,f,,
55290,83560efc-3ead-446a-9652-02476a5f18c3,Crimson Glory,Crimson Glory,1982,,,,,,2,222,,"",0,2011-12-10 23:15:07.848927+01,f,,
531515,7b0ce0bb-c461-4afd-907f-822d5b8833df,Beam,Beam,,,,,,,1,81,1,Michael Urgacz,0,2012-11-18 09:08:28.460718+01,f,,
60661,bd496eba-155e-49ba-9a92-56e3fdfd1ea2,Masterplan,Masterplan,2001,8,,,,,2,81,,German power metal band,0,2011-10-14 03:23:35.738551+02,f,,
8436,9bc79fce-21c3-43d0-a1ca-e0405efde098,Ian Moore,"Moore, Ian",1968,8,8,,,,1,222,1,"",0,2011-08-07 22:24:48.378951+02,f,,
754748,f8262f5d-563d-404e-b7c2-a92456f32a6f,Rolar,Rolar,,,,,,,1,,,Artem Gorun | Артём Горун,0,2010-10-18 22:02:22.24336+02,f,,
348532,6340f9c2-3687-44c0-9b90-61485e4a0230,Till West,Till West,,,,,,,1,,,"",0,2010-05-24 07:28:18.165338+02,f,,
57588,b3f8b449-af84-4766-bced-ff9aa6ba6f2b,Kenny Wheeler,"Wheeler, Kenny",1930,1,14,,,,1,38,1,"",0,2011-05-21 14:14:54.444638+02,f,,
66574,201224f5-7cec-4128-81ac-8099decc0bac,Dub Taylor,Dub Taylor,,,,,,,1,,,Alex Krüger,0,,f,,
41994,bbd80354-597e-4d53-94e4-92b3a7cb8f2c,Saxon,Saxon,1976,,,,,,2,221,,"",0,2012-01-17 05:24:48.707433+01,f,,
269907,7a27e973-3580-4d86-bef0-9af428e8c1e4,Scrappy Jud Newcomb,"Newcomb, Scrappy Jud",,,,,,,,,,"",0,,f,,
246353,ceedd0d2-a1eb-4478-837f-ba434002e2d1,Filo & Peri,Filo & Peri,,,,,,,2,222,,"",0,2012-01-08 16:52:51.357465+01,f,,
986026,3d42e17b-94f8-4631-bffc-cc94762788fe,Chapelle Rhénane,Chapelle Rhénane,,,,,,,,,,"",0,2013-03-10 20:50:06.009155+01,f,,
55741,13bf139a-44f7-4c1b-a7db-edf680db82a6,2 Men Ahead,2 Men Ahead,,,,,,,2,,,"",0,2012-05-18 16:00:18.286039+02,f,,
127468,b6985d25-20a3-4bfb-8630-18fd6a9ac482,Sandra Flyn,Sandra Flyn,,,,,,,,,,"",0,2012-11-29 23:13:45.408534+01,f,,
592846,bcf0fec3-44d7-44e1-a347-52854eaf20d5,Ramesh,Ramesh,,,,,,,,,,"",0,2009-01-28 00:19:04.931686+01,f,,
132349,05df36ea-2e60-4fc5-bf94-4f37a77330e4,Herborg Kråkevik,"Kråkevik, Herborg",1973,12,28,,,,1,160,2,"",0,2012-03-18 22:06:46.696516+01,f,,
754768,7c0b136c-812e-4715-a514-7a8194cf96f0,Leftie & Sado,Leftie & Sado,,,,,,,2,,,"",0,2010-10-18 22:32:30.25401+02,f,,
175650,c079c965-60d7-4aa6-b4bd-1a79558cf937,Joe Bocan,"Bocan, Joe",,,,,,,,,,"",0,,f,,
540526,2f21daee-3ad8-4de0-bdc0-e614438b6cae,Lawrence Palmer,"Palmer, Lawrence",,,,,,,,,,"",0,,f,,
58589,5ce64ed9-3015-4910-a2bb-1cd5c933de38,Sonny Landreth,"Landreth, Sonny",1951,2,1,,,,1,,1,"",0,2011-12-10 23:47:46.466599+01,f,,
34480,24486aba-1e38-4c99-aa1d-bec293bce49e,DJ Jean,DJ Jean,1968,5,7,,,,1,150,1,"",0,2013-05-07 00:52:47.208176+02,f,,
20422,3be4099e-f180-4038-af84-ae18a09eab02,Julio Iglesias,"Iglesias, Julio",1943,9,23,,,,1,194,1,"",0,2013-06-29 15:33:46.648691+02,f,9413,
754744,7a977e5a-d1fc-4275-9b42-3d285de9110d,Leftie,Leftie,,,,,,,1,,,Ukranian Drum & Bass producer,0,2010-10-18 21:58:54.860078+02,f,,
288348,da1589e5-a689-488e-a657-0939304e4c13,Brisky,Brisky,,,,,,,1,,1,Simon Brisk,0,2012-04-02 20:04:03.887022+02,f,,
618950,5a0a946e-779a-467c-863b-3e3268f2f509,Red Co,Red Co,,,,,,,2,219,,Ukraine Drum & Bass group,0,2012-03-23 03:44:59.110789+01,f,,
78207,c5a57ad4-1f29-43d4-9d7b-f7c2003d36ef,Richi M,Richi M,,,,,,,1,,,"",0,,f,,
45601,9954d98b-b93b-4188-8f20-5cf8eb0e8911,John Norum,"Norum, John",1964,2,23,,,,1,,,"",0,,f,,
80070,c0f286bf-b427-4a0e-b5f5-f46ae900a486,Yesterdays New Quintet,Yesterdays New Quintet,2001,,,,,,2,222,,"",0,2012-08-09 11:02:33.297368+02,f,,
397,95f5b748-d370-47fe-85bd-0af2dc450bc0,Sublime,Sublime,1986,,,1996,5,25,2,7324,,ska punk,0,2013-10-17 23:00:16.834484+02,t,7324,7022
126834,1f130bf7-f53e-4903-ac87-1a4c55529c71,David Peel & The 360's,"Peel, David & 360's, The",,,,,,,2,,,"",0,,f,,
111355,05ba0467-3a94-4f44-97c9-b8d7c0683a40,Shaun Baker,"Baker, Shaun",,,,,,,1,108,1,"",0,2012-08-20 13:00:19.441798+02,f,,
295188,64084edd-4467-4b84-aae6-3206b6e348bb,Sound Directions,Sound Directions,,,,,,,2,,,"",0,,f,,
513168,59906673-e127-492b-ae7c-4a33f043a64b,Hisashi Ito,"Ito, Hisashi",,,,,,,1,,,"",0,,f,,
965,02ceff75-7363-493e-a78d-912dc86c7460,The Black Crowes,"Black Crowes, The",1989,,,,,,2,222,,"",0,2013-09-26 06:25:55.467716+02,f,5210,
45914,cbdcee87-59a0-4f05-929b-86a3d91b6dfa,Heinrich Schütz,"Schütz, Heinrich",1585,10,8,1672,11,6,1,81,1,"",0,2013-01-15 16:14:12.821922+01,t,,
