id,gid,name,artist_credit,release_group,status,packaging,language,script,barcode,comment,edits_pending,quality,last_updated
162,28b310de-08bc-474b-a9ad-760474bc3b7f,The Ballads Collection,37921,172343,1,,120,28,078636939025,"",0,-1,2010-02-14 06:29:09.804557+01
77870,33632d10-ec1a-4c87-b30a-7a858e933807,SCSI Duck,3214,290603,1,,,28,,"",0,-1,2011-12-16 22:23:26.071581+01
77259,e7efb09c-3a74-408f-afe9-43dd53cbed1b,Everything but the Girl vs. Drum & Bass,319,44405,1,,120,28,075678547423,"",0,-1,2010-05-26 00:27:16.053982+02
1088966,f79b1cfa-2b84-4112-a4b1-155b752f590c,Falling Star,48339,1106693,1,,,28,,"",0,-1,2013-01-10 05:00:32.576097+01
161195,02ff5415-52f8-41e4-974a-50aa1da55fe5,Glemmer du.. så husker jeg..: De bedste (disc 1: 1925-1936),187812,524808,1,,100,28,,"",0,-1,2013-04-28 02:00:29.586101+02
166628,1e35b2d2-9971-4856-a8bc-54105e6440d8,Tour EP 2003,79977,528897,1,,120,28,,"",0,-1,
1179194,25146ba9-7ef6-4532-93ea-d49f32bc9ef9,Playlist: The Very Best of Sir Mix-A-Lot,1154853,1178856,1,,120,28,,"",0,-1,2013-04-19 20:00:24.079323+02
221484,03f6edce-86c2-4eb7-80c7-1c57056598fc,I Want You,962,553843,1,,120,28,044003865624,"",0,-1,2010-06-13 03:05:57.632722+02
260629,47b9bbbb-d960-405b-ab7e-76a32590c4b9,Teraz Rock: The House of Blue Light,1,608606,2,,284,28,,"",0,-1,
269763,a7455fcd-a91b-497f-9d93-6d1340cc8ae5,A Concept From Fire,212213,412350,1,,120,28,060768476325,"",0,-1,
312224,cdc2cfa7-de9e-47d2-97c4-ca23148d3b94,It Takes Two!,57588,651744,1,,120,28,,"",0,-1,
313356,aadc31b1-9423-4e57-84c8-f30ae05888ea,Symphonies Nos. 12-14 (Danish National Symphony Orchestra and Choir feat. conductor: Thomas Dausgaard),471912,652840,1,,100,28,747313151769,"",0,-1,
320679,a046208d-1719-43fc-907d-61c248084fae,I Want You,962,553843,1,,120,28,,"",0,-1,2012-02-26 17:59:41.575559+01
327888,aabbc260-1c09-4ad0-b427-76224f060d93,Hempilation: Freedom is NORML,1,166313,1,,120,28,789394204729,"",0,-1,2012-06-07 03:18:04.270225+02
370912,de691a6b-b03a-4e3c-9747-244e453ce7fd,25,1,699647,1,,120,28,,"",0,-1,2012-07-06 08:09:07.7183+02
373542,180852f5-eaf4-3c87-a05e-2144b9734d35,I Want You,962,553843,1,,120,28,044003865624,"",0,-1,2010-06-13 03:05:57.632722+02
380756,a4409340-649d-4cf6-9bfa-a1d861870d0f,Perfect World,78207,420117,1,,120,28,731452936820,"",0,-1,
439759,eec027f8-b700-43cc-a780-f12d42bfd6a8,Wie Funktioniert Das E.P.,157129,756173,1,,120,28,,"",0,-1,2012-03-31 04:08:39.173972+02
463786,67621f49-d83e-4a52-bf31-e9fa56f93db2,Chili Con Carne,222898,775701,1,,120,28,,"",0,-1,2012-04-02 05:06:34.509973+02
512299,6bdfe0e8-767d-4e62-9ebb-028a22af8e33,The Dock of the Bay,100768,816262,1,,120,28,,"",0,-1,2012-07-04 08:03:03.394139+02
576610,4b1a9488-baa5-4cdb-a281-bd8764b86cd4,Like the Bible,112011,158674,1,,224,43,8809107691447,"",0,-1,2009-08-27 11:08:26.232098+02
576611,60c4280f-b96d-32e3-bb44-c0cd21bb79d6,Like the Bible,112011,158674,1,,224,43,8809107691454,"",0,-1,2009-08-27 11:08:26.232098+02
586791,07f48564-2332-490b-a33a-8c92eda394c4,Buddha Room: The Mandarin Bar Lounge,1,875011,1,,120,28,,"",0,-1,2009-09-22 16:17:40.3757+02
1285054,48a31a94-5cf0-401c-a9b1-49fae9097ebb,Bandsoc (disc 21),1159548,1264992,2,5,120,28,"","",0,-1,2013-05-08 18:00:17.511094+02
1200316,76f29ee5-51cd-448d-99e3-697dadada9a4,Bong,470869,1195907,1,,,28,,"",0,-1,2012-09-22 02:32:32.671913+02
632380,45a516c3-c894-472a-9a3f-09c1962f51af,כרטיס ללונה פארק,153623,909996,1,,284,11,,"",0,-1,2010-01-18 04:24:03.537734+01
640088,2c80c5b0-de7e-4b1d-bb21-4585524419c0,Asthmatic Lion Sound Systema Remix,136847,915846,2,,284,28,,"",0,-1,2010-01-21 23:12:34.565935+01
683929,788ecfd2-2713-4e01-a8f5-3191148b868e,Laisse-moi t'aimer,51778,279221,1,,134,28,5099925375329,"",0,-1,2010-04-30 10:49:02.111048+02
715563,1d959340-6a03-4bb9-8ceb-b2145e25eaeb,Pulse EP,94820,974526,1,,120,28,5032198000710,"",0,-1,2012-06-10 08:41:47.365871+02
742104,62a5f6c1-3169-4a4c-ae29-1e6919f04a8f,Paradigmashift,60455,994935,1,,120,28,,"",0,-1,2010-10-04 00:44:46.178793+02
755916,1124a983-b90c-4c88-ac89-90da4d5fa1b0,"UA Drum & Bass, Volume 3",1,1006547,1,,120,28,,"",0,-1,2010-10-18 22:39:28.159343+02
811003,9fd33438-f3ea-402e-973f-90200216e980,It Could Be Clouds,707464,1050044,1,,120,28,,"",0,-1,2011-03-04 09:18:26.581968+01
820157,02b0be88-9616-4d4a-9c84-93a232c2ab60,"Herr Wirt, so lösche uns're Brände / Es ist an der Zeit",761525,1056725,1,,145,28,886971655124,"",0,-1,2011-03-27 04:27:28.832032+02
823517,622aaab3-8fee-3ed6-80a7-2532c3f54b64,I Want You,962,553843,1,,120,28,731453002128,"",0,-1,2011-04-04 06:30:43.350637+02
823526,d1582065-caa3-3ff0-a67e-857de62c2993,I Want You,962,553843,1,,120,28,731453088726,"",0,-1,2011-04-04 06:30:43.350637+02
851638,67eb231a-b0b3-4f4c-9dfc-a96e42e04d81,Metal Invader,55290,975024,3,,120,28,,"",0,-1,2010-07-16 00:13:14.020043+02
856274,7c0f53bb-ec46-4f06-b3a9-aa72e9de1292,Herborgs Verden,132349,903101,1,,309,28,,"",0,-1,2009-12-14 21:54:34.732643+01
917934,44f566ce-48ee-410f-b608-722ab93f552b,Curve of the Earth,170912,252270,1,,120,28,,"",0,-1,2012-03-03 22:46:27.656368+01
934230,5db4337d-a4ef-4014-9bd6-c63d0584bb03,Black Betty '95,11340,372560,1,,120,28,,"",0,-1,2012-02-03 12:46:16.413636+01
960349,c4e52ad4-c811-4255-aeb1-45eb7496a6cf,Music for the Mabinogi (Cerddoriaeth ar Gyfer Y Mabinogi),199457,405704,1,,120,28,,"",0,-1,
415670,e01d248a-db74-4584-89bc-d7d186162478,"Technics DJ Set, Volume 16",946650,736067,1,,120,28,4005902644594,"",0,-1,2013-05-12 20:29:30.830067+02
991142,96e574ed-1a9c-446b-acc2-d965ece9fbb6,Blues-O-Matic,5489,10239,1,,120,28,,"",0,-1,
991774,bd111df1-eeda-4485-a8da-2b72f10f9f88,Joe Bocan,175650,774341,1,,134,28,,"",0,-1,
1297227,a060ec09-49fc-4cbd-ad0a-1afca2786ffb,Phases,71117,1274460,1,7,120,28,,"",0,-1,2013-06-05 18:47:11.567215+02
1019020,4bac3f5f-bd80-4955-8504-0c201c8b54bf,Blues Attack,58589,206971,1,,120,28,,"",0,-1,
1033432,129447fd-22b4-43c1-b381-fc02e7b5a302,Black Betty,11340,372560,1,,120,28,,"",0,-1,2013-05-27 21:00:13.113148+02
1037917,a730c315-38ea-48c5-a77c-be8c5a0e35d3,Non Stop,20422,265558,1,,120,28,,"",0,-1,2009-12-11 15:01:22.329921+01
1115010,36d835b9-7871-44af-a428-9cfeb0f1e9d2,Satta Massagana,529441,1127687,1,,353,31,,"",0,-1,2012-02-04 01:00:06.097199+01
1119049,bed76e94-b825-40d5-94ca-e9c5810aece9,Οι φίλοι μου είμαι εγώ,219729,1131080,1,,159,22,,"",0,-1,2012-02-01 16:16:06.769627+01
909660,2778549a-1c08-4388-9924-a1f4a91bfa8b,Anagram,158469,219214,1,,120,28,,"",0,-1,2012-04-06 00:12:28.492982+02
1206329,acf1431d-48ad-429b-b878-f5417905d38b,Oscilate on Opiate,977507,1200610,1,7,120,28,"","",0,-1,2012-10-22 20:00:30.538625+02
483428,22219792-6312-4a57-b4b1-214daad3f759,Black Betty,11340,372560,1,4,120,28,5099766049915,"",0,-1,2012-11-09 22:00:12.528541+01
326695,4df297e6-14f4-441b-9de2-3025ae33192d,Shimmy Shimmy Ya,841922,663961,1,,120,28,075596612821,"",0,-1,2013-05-08 00:00:03.846604+02
1318921,3d75ad1b-15c4-4fb2-b5c5-36c4b1eb06b5,I Want You,962,553843,1,1,120,28,250142070000,"",0,-1,2013-08-20 05:00:18.425152+02
98008,888485a6-926d-4e1c-9206-2fd31d70e0f2,Young Guitar Slingers: Texas Blues Evolution,1,467166,1,,120,28,049891004926,"",0,-1,2013-01-19 17:36:04.620859+01
1320388,7e0d6848-bad7-434e-869c-5cdb8aff70ef,Psalmen Davids,1206709,1292853,1,4,145,28,3383510002373,,0,-1,2013-08-24 21:00:18.897727+02
1254911,eb4d5fac-d545-4c24-a6cd-681b7a988d09,Memories - Single,826231,1240775,1,4,120,28,,"",0,-1,2013-02-19 06:00:14.515913+01
703604,c451a09f-2a48-4463-ab56-e0816d6741bd,Symphony no. 8,1007607,965378,1,,120,28,7318590007006,"",0,-1,2013-03-14 18:53:13.800592+01
