id,name,ref_count
21,special purpose artist,26
48,fixme,196
42,norwegian,281
100,meta artist,5
120,hebrew,40
212,francophone,684
185,seen live,67
214,français,655
368,belgian,98
533,conductor,105
532,orchestra,29
638,austrian,103
617,spain,152
745,nwobhm,9
993,folklore,50
1078,garage rock revival,15
1147,reggae rock,5
1174,post-industrial,15
1140,neo-psychedelia,16
1365,jazz pop,5
1343,popular,15
1600,european,411
1777,meditation,15
2216,frankfurt,18
2548,leipzig,5
2623,sexual,1
2496,basque,17
2828,hull,5
8491,berlin school,6
2680,harsh noise,6
2767,wu-tang,14
35578,birthday,1
3475,español,61
3752,80s thrash metal,1
3753,marty friedman,1
3755,90s hard rock,1
3756,dave mustaine,1
3819,candombe,2
3839,not as good as metallica,1
4175,beethoven,3
4280,american thrash metal,3
4283,stfu totally better than metallica,1
4422,michael jackson,8
4425,trikitixa,1
4665,pop and chart,530
4585,ultimate love songs greatest love of all disc 1,1
4664,jazz and blues,671
4669,easy listening soundtracks and musicals,195
4816,orthodox,8
4914,nederlands,5
26303,classique,5
5165,calypso,11
5909,celtique,14
5878,free improvisation,151
6076,alternative pop ballad club dance electro france chanson german trance hip-hop rnb rock music soul vocal house,1
6266,gratuitous heavy metal umlaut,7
6899,full of fail tags,1
7144,nox,1
7173,wireharp,1
7455,bareto,2
7473,archives,1
7796,sprechgesang,3
7860,mohsen namjoo,1
7879,frédéric chopin,1
7885,klaus baumgart,1
7918,mess,2
8110,ibiza,4
8217,best of,3
8310,von weber,1
8291,various artists,2
8361,healing sixes,1
8383,major label,1
8410,la grande sophie,1
21223,嫌われ松子の歌たち,1
21270,z103 5 street mix 2k7,1
21294,john coltrane,1
21581,binaural beats,5
21582,hemi-sync,6
21804,niroshima,1
21803,venezolana,3
21863,nitzer ebb,2
22043,bioshock soundtrack,1
22049,shankar jaikishan,1
22115,visions,1
22417,gérard palaprat,1
22562,it,1
22980,local music of iran,1
22988,mary j blige,1
23006,bravo hits,1
24629,fix your tags,1
24879,infantil,8
24916,razieq,1
25084,rhythm del mundo,1
25183,http musicbrainz org release-group b2aa521d-001b-34ad-a5e9-ca310e55b254 html,1
25310,dresch,1
25319,africa middle east,1
25354,montuno,1
25515,more 70,1
26163,backstreet boys,1
26364,80 s fresh new,1
