id,gid,recording,medium,position,number,name,artist_credit,length,edits_pending,last_updated
58111,f066710a-5019-3471-8a1e-cff1a42cf159,72660,991142,3,3,My One and Only Love,5489,337000,0,2011-05-16 18:08:20.288158+02
58116,e0e61abb-66a7-3722-8da7-e95661e64c85,72665,991142,8,8,Long Count,5489,358000,0,2011-05-16 18:08:20.288158+02
58118,09118a26-3ce2-30d8-bf87-957eb9533a76,72667,991142,10,10,Ding Ding,5489,264000,0,2011-05-16 18:08:20.288158+02
271076,71e17553-70d3-3709-9681-976c8193ec2e,313855,77259,2,2,Walking Wounded (Spring Heel Jack dub),319,409440,0,2011-05-16 18:08:20.288158+02
476229,fa40f0fd-5a0c-370e-a9ae-eaaa556ee86e,547853,320679,3,3,After the Dance (instrumental),962,265426,0,2011-05-16 18:08:20.288158+02
476240,ef74a5b6-0e62-35bc-8b4a-abb62c9099dd,547853,823517,3,3,After the Dance (instrumental),962,265426,0,2011-05-16 18:08:20.288158+02
476251,98d23700-5a93-374a-ad5b-bd0f3fd882cd,547853,823526,3,3,After the Dance (instrumental),962,265426,0,2011-05-16 18:08:20.288158+02
476232,7c9b6501-3075-34fe-8f9a-8ca277b402dd,547856,320679,6,6,I Want You (intro jam),962,19733,0,2011-05-16 18:08:20.288158+02
476243,b9d2f3fc-928b-3451-bc0c-40554e5e0115,547856,823517,6,6,I Want You (intro jam),962,19733,0,2011-05-16 18:08:20.288158+02
476254,7a428328-36c5-3aaa-ab01-678f634f417b,547856,823526,6,6,I Want You (intro jam),962,19733,0,2011-05-16 18:08:20.288158+02
476236,48a0c696-1263-3b73-a8c9-61eff505852c,547860,320679,10,10,I Want You (intro jam),962,100800,0,2011-05-16 18:08:20.288158+02
476247,10617cae-e477-39b2-b4bf-7c2992ad1b1e,547860,823517,10,10,I Want You (intro jam),962,100800,0,2011-05-16 18:08:20.288158+02
476258,315a63d0-43c9-3715-8eb3-3a431e1250f2,547860,823526,10,10,I Want You (intro jam),962,100800,0,2011-05-16 18:08:20.288158+02
476237,61900f10-cd54-3e79-9049-ea2eaa4137fa,547861,320679,11,11,After the Dance (vocal),962,279733,0,2011-05-16 18:08:20.288158+02
476248,06e33fa6-593a-3ea8-9e69-faf40f8661bf,547861,823517,11,11,After the Dance (vocal),962,279733,0,2011-05-16 18:08:20.288158+02
476259,e8e89d04-2d34-3d61-a70a-3e88688f82dc,547861,823526,11,11,After the Dance (vocal),962,279733,0,2011-05-16 18:08:20.288158+02
1340807,8c08cd1a-81a6-3326-9ac1-493dad764cde,1583287,576610,7,7,내 안의 너,112011,282013,0,2011-05-16 18:08:20.288158+02
1340819,bca6afb2-3112-3c62-845f-2736c92e03fa,1583287,576611,7,7,내 안의 너,112011,282013,0,2011-05-16 18:08:20.288158+02
